date,state,avg_temp_c,rainfall_mm,humidity_pct,wind_speed_mps
1980-09,Andhra Pradesh,19.61,8.08,63.28,1.28
1980-10,Andhra Pradesh,18.43,3.91,56.89,1.14
1980-11,Andhra Pradesh,21.55,35.78,74.99,3.56
1980-12,Andhra Pradesh,24.81,25.09,46.29,4.55
1981-01,Andhra Pradesh,27.55,26.63,55.68,1.41
1981-02,Andhra Pradesh,29.65,7.22,77.12,4.48
1981-03,Andhra Pradesh,30.33,9.11,62.15,5.12
1981-04,Andhra Pradesh,30.89,6.84,45.73,1.33
1981-05,Andhra Pradesh,27.86,6.82,75.19,2.97
1981-06,Andhra Pradesh,24.4,12.94,64.12,3.37
1981-07,Andhra Pradesh,23.13,11.9,46.48,4.87
1981-08,Andhra Pradesh,20.58,20.8,66.55,1.02
1981-09,Andhra Pradesh,17.56,14.59,69.9,5.53
1981-10,Andhra Pradesh,19.13,22.86,54.99,1.87
1981-11,Andhra Pradesh,21.75,18.77,55.57,5.1
1981-12,Andhra Pradesh,24.31,20.07,81.43,2.83
1982-01,Andhra Pradesh,25.79,24.24,46.24,4.58
1982-02,Andhra Pradesh,26.92,20.21,72.61,3.26
1982-03,Andhra Pradesh,29.07,30.77,68.07,2.56
1982-04,Andhra Pradesh,30.55,17.13,54.9,2.86
1982-05,Andhra Pradesh,27.32,15.17,57.58,1.87
1982-06,Andhra Pradesh,23.08,51.5,52.41,4.51
1982-07,Andhra Pradesh,21.93,3.79,47.28,2.14
1982-08,Andhra Pradesh,19.27,61.46,51.99,3.85
1982-09,Andhra Pradesh,18.84,17.55,68.82,1.16
1982-10,Andhra Pradesh,17.16,8.08,51.72,5.86
1982-11,Andhra Pradesh,22.14,24.49,71.75,3.38
1982-12,Andhra Pradesh,26.26,15.9,63.3,1.69
1983-01,Andhra Pradesh,26.84,5.82,75.2,3.32
1983-02,Andhra Pradesh,29.32,8.74,71.95,4.85
1983-03,Andhra Pradesh,31.88,17.79,71.9,4.43
1983-04,Andhra Pradesh,30.54,15.37,45.21,3.42
1983-05,Andhra Pradesh,27.71,19.79,71.95,3.89
1983-06,Andhra Pradesh,24.95,3.01,59.1,5.28
1983-07,Andhra Pradesh,22.12,8.62,75.95,3.14
1983-08,Andhra Pradesh,18.77,35.67,75.69,2.54
1983-09,Andhra Pradesh,19.41,30.5,53.56,1.99
1983-10,Andhra Pradesh,18.96,6.8,49.44,4.37
1983-11,Andhra Pradesh,20.79,9.6,73.45,3.77
1983-12,Andhra Pradesh,25.37,10.93,81.94,4.53
1984-01,Andhra Pradesh,26.43,15.87,51.39,2.01
1984-02,Andhra Pradesh,27.75,4.33,74.17,1.94
1984-03,Andhra Pradesh,31.78,27.83,69.04,4.74
1984-04,Andhra Pradesh,30.9,49.78,74.26,5.73
1984-05,Andhra Pradesh,28.92,12.29,78.41,1.96
1984-06,Andhra Pradesh,22.92,8.09,81.19,2.85
1984-07,Andhra Pradesh,20.88,104.58,53.26,1.38
1984-08,Andhra Pradesh,17.59,17.42,49.32,4.94
1984-09,Andhra Pradesh,18.78,5.15,76.48,1.95
1984-10,Andhra Pradesh,21.0,19.34,67.04,2.08
1984-11,Andhra Pradesh,22.31,31.89,79.48,1.1
1984-12,Andhra Pradesh,24.68,35.44,75.35,4.58
1985-01,Andhra Pradesh,27.94,27.08,73.28,4.9
1985-02,Andhra Pradesh,31.0,10.02,69.53,3.01
1985-03,Andhra Pradesh,30.81,19.61,49.83,2.1
1985-04,Andhra Pradesh,30.38,12.51,56.47,1.69
1985-05,Andhra Pradesh,28.32,3.78,63.29,3.22
1985-06,Andhra Pradesh,24.23,38.1,72.0,2.11
1985-07,Andhra Pradesh,19.55,12.6,80.09,3.24
1985-08,Andhra Pradesh,19.08,43.76,50.27,3.16
1985-09,Andhra Pradesh,18.71,29.16,65.19,3.49
1985-10,Andhra Pradesh,19.95,18.09,52.78,5.24
1985-11,Andhra Pradesh,22.34,6.51,82.95,4.12
1985-12,Andhra Pradesh,24.87,14.82,77.91,5.31
1986-01,Andhra Pradesh,25.89,12.05,64.11,1.67
1986-02,Andhra Pradesh,30.86,16.31,72.34,2.99
1986-03,Andhra Pradesh,29.12,17.0,56.77,1.52
1986-04,Andhra Pradesh,30.21,49.94,65.28,4.96
1986-05,Andhra Pradesh,28.52,27.72,70.91,1.9
1986-06,Andhra Pradesh,23.55,10.83,54.66,3.03
1986-07,Andhra Pradesh,22.5,12.57,55.08,4.96
1986-08,Andhra Pradesh,17.36,7.42,72.89,2.34
1986-09,Andhra Pradesh,17.9,31.47,64.52,5.28
1986-10,Andhra Pradesh,20.19,19.24,81.87,2.39
1986-11,Andhra Pradesh,23.09,32.14,45.55,3.08
1986-12,Andhra Pradesh,24.32,24.02,51.99,2.71
1987-01,Andhra Pradesh,27.95,8.9,72.54,2.27
1987-02,Andhra Pradesh,28.66,28.03,59.88,2.78
1987-03,Andhra Pradesh,30.66,10.6,69.54,4.24
1987-04,Andhra Pradesh,29.42,13.46,80.01,1.92
1987-05,Andhra Pradesh,25.1,5.16,51.46,2.71
1987-06,Andhra Pradesh,25.19,11.22,62.07,4.04
1987-07,Andhra Pradesh,21.53,5.66,79.39,4.36
1987-08,Andhra Pradesh,18.41,21.14,84.46,5.74
1987-09,Andhra Pradesh,17.52,22.51,67.63,3.34
1987-10,Andhra Pradesh,21.23,4.38,75.04,3.9
1987-11,Andhra Pradesh,21.16,4.67,69.95,1.24
1987-12,Andhra Pradesh,24.23,15.02,71.74,2.89
1988-01,Andhra Pradesh,28.1,8.74,76.81,3.44
1988-02,Andhra Pradesh,29.22,17.0,59.03,2.15
1988-03,Andhra Pradesh,28.51,5.97,84.18,2.82
1988-04,Andhra Pradesh,29.99,44.45,59.2,2.23
1988-05,Andhra Pradesh,27.58,25.93,84.8,1.29
1988-06,Andhra Pradesh,24.0,16.9,52.22,4.15
1988-07,Andhra Pradesh,23.3,11.86,64.79,3.64
1988-08,Andhra Pradesh,18.93,6.7,74.08,3.39
1988-09,Andhra Pradesh,19.49,15.03,61.36,2.34
1988-10,Andhra Pradesh,19.17,8.92,56.65,3.52
1988-11,Andhra Pradesh,21.5,59.92,50.74,1.42
1988-12,Andhra Pradesh,25.8,11.62,75.71,2.45
1989-01,Andhra Pradesh,25.86,4.34,47.84,1.76
1989-02,Andhra Pradesh,28.61,49.66,67.32,5.97
1989-03,Andhra Pradesh,31.01,30.38,46.59,1.35
1989-04,Andhra Pradesh,27.55,12.34,64.58,3.7
1989-05,Andhra Pradesh,27.37,32.03,55.14,2.37
1989-06,Andhra Pradesh,25.04,2.01,71.86,1.71
1989-07,Andhra Pradesh,20.91,4.51,66.03,1.38
1989-08,Andhra Pradesh,18.71,30.45,58.58,3.77
1989-09,Andhra Pradesh,17.28,37.12,58.03,5.45
1989-10,Andhra Pradesh,20.12,28.91,53.43,1.21
1989-11,Andhra Pradesh,21.33,15.85,71.81,3.15
1989-12,Andhra Pradesh,24.71,45.88,50.39,1.97
1990-01,Andhra Pradesh,27.09,14.81,65.48,4.09
1990-02,Andhra Pradesh,30.85,13.94,45.62,5.37
1990-03,Andhra Pradesh,31.54,24.02,47.04,2.18
1990-04,Andhra Pradesh,29.58,9.33,48.26,3.37
1990-05,Andhra Pradesh,27.83,11.55,46.73,3.43
1990-06,Andhra Pradesh,24.65,25.19,58.79,5.49
1990-07,Andhra Pradesh,19.99,12.28,72.37,1.32
1990-08,Andhra Pradesh,19.7,27.9,74.29,2.27
1990-09,Andhra Pradesh,19.73,22.25,50.22,5.21
1990-10,Andhra Pradesh,19.91,67.28,56.8,5.36
1990-11,Andhra Pradesh,20.81,15.12,53.14,5.13
1990-12,Andhra Pradesh,24.47,33.96,66.09,4.12
1991-01,Andhra Pradesh,27.06,27.95,67.71,1.58
1991-02,Andhra Pradesh,30.19,4.36,50.26,1.81
1991-03,Andhra Pradesh,30.83,35.29,58.83,3.98
1991-04,Andhra Pradesh,31.36,42.49,75.01,5.74
1991-05,Andhra Pradesh,26.13,18.75,45.29,2.64
1991-06,Andhra Pradesh,24.67,28.87,69.19,5.11
1991-07,Andhra Pradesh,21.14,28.48,73.85,3.2
1991-08,Andhra Pradesh,19.55,6.81,53.01,4.94
1991-09,Andhra Pradesh,16.83,26.8,65.28,3.27
1991-10,Andhra Pradesh,17.75,25.31,59.87,2.22
1991-11,Andhra Pradesh,23.2,28.01,83.84,4.77
1991-12,Andhra Pradesh,25.11,28.25,64.27,3.23
1992-01,Andhra Pradesh,26.93,56.3,72.27,4.49
1992-02,Andhra Pradesh,28.65,21.69,76.24,5.52
1992-03,Andhra Pradesh,29.85,10.67,57.82,5.08
1992-04,Andhra Pradesh,31.08,25.72,48.98,1.58
1992-05,Andhra Pradesh,26.32,11.1,68.99,4.44
1992-06,Andhra Pradesh,23.62,16.42,63.46,1.99
1992-07,Andhra Pradesh,20.59,37.67,62.14,5.32
1992-08,Andhra Pradesh,20.24,52.73,66.18,5.47
1992-09,Andhra Pradesh,19.25,12.11,58.19,4.42
1992-10,Andhra Pradesh,19.12,19.86,71.68,2.72
1992-11,Andhra Pradesh,21.89,6.77,77.87,4.14
1992-12,Andhra Pradesh,24.61,24.45,62.17,2.68
1993-01,Andhra Pradesh,27.51,19.91,47.98,2.85
1993-02,Andhra Pradesh,30.02,7.61,84.64,5.65
1993-03,Andhra Pradesh,30.18,6.32,67.44,4.9
1993-04,Andhra Pradesh,27.03,11.75,81.43,1.11
1993-05,Andhra Pradesh,27.04,23.64,59.21,5.87
1993-06,Andhra Pradesh,24.32,13.97,68.34,2.55
1993-07,Andhra Pradesh,21.14,11.71,79.92,4.5
1993-08,Andhra Pradesh,20.6,15.21,59.54,2.38
1993-09,Andhra Pradesh,18.32,27.33,55.18,5.42
1993-10,Andhra Pradesh,17.79,7.76,52.63,1.59
1993-11,Andhra Pradesh,22.0,27.33,54.72,4.12
1993-12,Andhra Pradesh,23.09,35.94,80.22,3.3
1994-01,Andhra Pradesh,26.72,29.94,62.15,2.91
1994-02,Andhra Pradesh,29.34,10.8,57.11,4.71
1994-03,Andhra Pradesh,32.06,34.05,72.14,3.52
1994-04,Andhra Pradesh,29.06,10.77,78.77,5.91
1994-05,Andhra Pradesh,27.26,26.81,66.86,5.08
1994-06,Andhra Pradesh,27.07,11.36,49.01,3.69
1994-07,Andhra Pradesh,22.78,3.62,70.8,2.97
1994-08,Andhra Pradesh,17.76,8.01,63.03,2.67
1994-09,Andhra Pradesh,20.15,30.26,66.68,4.5
1994-10,Andhra Pradesh,20.94,10.79,84.15,2.18
1994-11,Andhra Pradesh,20.77,9.5,65.11,1.52
1994-12,Andhra Pradesh,24.76,28.88,67.24,3.68
1995-01,Andhra Pradesh,25.22,46.07,72.49,3.81
1995-02,Andhra Pradesh,28.83,38.68,68.88,5.9
1995-03,Andhra Pradesh,28.93,47.86,75.59,3.59
1995-04,Andhra Pradesh,29.3,45.9,66.96,5.0
1995-05,Andhra Pradesh,27.7,25.15,56.07,5.6
1995-06,Andhra Pradesh,24.7,24.51,80.84,5.86
1995-07,Andhra Pradesh,22.91,15.0,59.15,2.27
1995-08,Andhra Pradesh,21.29,20.02,63.46,2.41
1995-09,Andhra Pradesh,18.95,9.07,57.99,2.54
1995-10,Andhra Pradesh,20.44,26.21,65.72,2.86
1995-11,Andhra Pradesh,21.54,12.24,84.62,4.87
1995-12,Andhra Pradesh,26.3,9.65,66.07,3.09
1996-01,Andhra Pradesh,27.24,20.49,83.38,1.19
1996-02,Andhra Pradesh,29.45,12.53,59.24,5.77
1996-03,Andhra Pradesh,30.35,2.6,70.73,1.56
1996-04,Andhra Pradesh,29.51,25.59,80.62,2.91
1996-05,Andhra Pradesh,27.94,7.36,83.85,2.42
1996-06,Andhra Pradesh,24.37,20.95,58.8,1.8
1996-07,Andhra Pradesh,22.38,8.1,52.89,4.46
1996-08,Andhra Pradesh,19.2,33.71,70.18,1.17
1996-09,Andhra Pradesh,18.7,35.88,45.39,2.26
1996-10,Andhra Pradesh,19.36,16.59,56.13,4.2
1996-11,Andhra Pradesh,21.22,6.54,60.22,4.51
1996-12,Andhra Pradesh,23.58,67.44,56.48,1.67
1997-01,Andhra Pradesh,27.44,6.88,52.41,3.21
1997-02,Andhra Pradesh,28.75,24.77,64.37,5.84
1997-03,Andhra Pradesh,30.49,21.81,62.35,1.3
1997-04,Andhra Pradesh,28.72,9.48,60.66,2.2
1997-05,Andhra Pradesh,27.93,11.68,47.32,1.69
1997-06,Andhra Pradesh,24.69,15.58,62.39,3.34
1997-07,Andhra Pradesh,20.46,22.33,55.62,1.08
1997-08,Andhra Pradesh,19.87,56.03,76.21,1.73
1997-09,Andhra Pradesh,17.69,6.78,48.52,5.35
1997-10,Andhra Pradesh,19.57,10.18,45.43,3.79
1997-11,Andhra Pradesh,21.45,16.46,77.24,5.34
1997-12,Andhra Pradesh,25.54,25.22,63.15,3.79
1998-01,Andhra Pradesh,29.46,17.49,65.81,5.14
1998-02,Andhra Pradesh,31.01,16.97,52.14,5.85
1998-03,Andhra Pradesh,29.63,30.77,83.21,1.4
1998-04,Andhra Pradesh,29.91,8.92,75.61,3.84
1998-05,Andhra Pradesh,26.76,21.03,70.0,3.05
1998-06,Andhra Pradesh,24.27,8.93,52.58,5.48
1998-07,Andhra Pradesh,20.87,45.73,56.52,2.57
1998-08,Andhra Pradesh,20.8,48.88,55.18,4.83
1998-09,Andhra Pradesh,20.62,12.84,52.35,5.28
1998-10,Andhra Pradesh,20.12,13.28,48.42,5.91
1998-11,Andhra Pradesh,20.13,52.89,71.0,1.18
1998-12,Andhra Pradesh,23.39,5.56,71.03,5.23
1999-01,Andhra Pradesh,27.71,25.05,60.95,5.83
1999-02,Andhra Pradesh,30.18,2.27,54.46,1.84
1999-03,Andhra Pradesh,31.97,17.22,49.76,5.5
1999-04,Andhra Pradesh,30.37,16.28,48.39,2.01
1999-05,Andhra Pradesh,27.95,28.74,58.17,3.64
1999-06,Andhra Pradesh,25.58,50.31,62.07,2.24
1999-07,Andhra Pradesh,21.67,12.76,70.02,2.29
1999-08,Andhra Pradesh,18.06,43.57,81.47,5.71
1999-09,Andhra Pradesh,17.21,24.25,75.02,4.76
1999-10,Andhra Pradesh,19.85,11.23,70.26,4.55
1999-11,Andhra Pradesh,20.85,43.2,81.12,3.94
1999-12,Andhra Pradesh,24.82,11.74,54.66,5.4
2000-01,Andhra Pradesh,27.58,21.44,46.74,5.74
2000-02,Andhra Pradesh,30.69,9.8,79.4,3.29
2000-03,Andhra Pradesh,30.39,19.26,69.76,5.93
2000-04,Andhra Pradesh,29.37,86.3,58.07,2.25
2000-05,Andhra Pradesh,28.15,10.0,48.33,4.88
2000-06,Andhra Pradesh,26.19,19.92,61.0,5.93
2000-07,Andhra Pradesh,21.33,26.82,69.77,1.89
2000-08,Andhra Pradesh,18.68,28.75,81.64,5.51
2000-09,Andhra Pradesh,19.62,18.12,84.92,3.17
2000-10,Andhra Pradesh,19.29,20.39,70.63,4.62
2000-11,Andhra Pradesh,21.6,28.73,56.24,4.01
2000-12,Andhra Pradesh,26.14,4.74,77.77,1.35
2001-01,Andhra Pradesh,27.18,6.28,49.43,4.24
2001-02,Andhra Pradesh,27.54,22.49,53.82,1.22
2001-03,Andhra Pradesh,31.44,39.72,73.76,1.55
2001-04,Andhra Pradesh,28.54,45.08,64.29,5.68
2001-05,Andhra Pradesh,27.43,35.79,80.02,5.75
2001-06,Andhra Pradesh,25.81,28.03,81.72,5.18
2001-07,Andhra Pradesh,22.58,18.72,77.34,1.65
2001-08,Andhra Pradesh,20.23,17.77,61.83,5.89
2001-09,Andhra Pradesh,17.71,5.54,77.35,5.5
2001-10,Andhra Pradesh,18.53,6.76,73.96,3.31
2001-11,Andhra Pradesh,22.64,2.51,67.02,4.08
2001-12,Andhra Pradesh,25.88,10.74,71.23,5.8
2002-01,Andhra Pradesh,27.61,7.0,54.72,5.57
2002-02,Andhra Pradesh,28.38,25.72,49.22,3.78
2002-03,Andhra Pradesh,30.67,7.87,70.98,4.58
2002-04,Andhra Pradesh,31.81,21.22,77.3,4.1
2002-05,Andhra Pradesh,25.29,5.63,73.12,1.92
2002-06,Andhra Pradesh,25.36,18.51,78.82,5.1
2002-07,Andhra Pradesh,20.94,16.66,81.91,1.22
2002-08,Andhra Pradesh,20.71,3.83,84.24,1.78
2002-09,Andhra Pradesh,20.74,28.37,63.65,3.46
2002-10,Andhra Pradesh,19.95,39.3,71.68,3.27
2002-11,Andhra Pradesh,23.61,21.47,76.52,4.01
2002-12,Andhra Pradesh,25.46,15.64,74.04,3.07
2003-01,Andhra Pradesh,27.85,18.59,77.29,5.85
2003-02,Andhra Pradesh,30.0,11.71,84.94,2.95
2003-03,Andhra Pradesh,31.68,14.19,63.49,3.56
2003-04,Andhra Pradesh,28.08,58.27,49.56,1.76
2003-05,Andhra Pradesh,27.59,9.74,59.36,1.38
2003-06,Andhra Pradesh,26.4,4.44,77.43,5.71
2003-07,Andhra Pradesh,21.9,27.78,72.31,1.07
2003-08,Andhra Pradesh,18.66,29.94,62.15,5.25
2003-09,Andhra Pradesh,19.22,15.63,69.78,5.9
2003-10,Andhra Pradesh,18.89,18.43,58.39,3.66
2003-11,Andhra Pradesh,20.85,12.33,72.25,5.34
2003-12,Andhra Pradesh,24.8,12.42,70.86,2.02
2004-01,Andhra Pradesh,26.97,3.52,64.1,3.34
2004-02,Andhra Pradesh,29.88,18.71,83.56,4.03
2004-03,Andhra Pradesh,28.88,31.84,47.08,1.67
2004-04,Andhra Pradesh,30.06,7.8,58.65,1.22
2004-05,Andhra Pradesh,26.3,17.08,82.74,5.33
2004-06,Andhra Pradesh,22.98,8.64,54.62,2.27
2004-07,Andhra Pradesh,23.57,2.78,76.86,3.24
2004-08,Andhra Pradesh,19.74,11.8,82.87,3.88
2004-09,Andhra Pradesh,18.78,32.26,56.85,3.66
2004-10,Andhra Pradesh,17.15,18.49,77.11,3.12
2004-11,Andhra Pradesh,20.86,7.96,79.92,1.64
2004-12,Andhra Pradesh,24.59,19.58,84.32,3.08
2005-01,Andhra Pradesh,29.48,21.59,56.96,1.53
2005-02,Andhra Pradesh,30.65,8.63,77.05,3.59
2005-03,Andhra Pradesh,31.12,4.87,46.18,5.52
2005-04,Andhra Pradesh,28.02,2.51,82.94,1.36
2005-05,Andhra Pradesh,26.98,7.13,64.82,5.12
2005-06,Andhra Pradesh,24.79,34.75,52.46,4.72
2005-07,Andhra Pradesh,21.74,3.49,54.13,1.87
2005-08,Andhra Pradesh,18.19,28.0,50.57,2.89
2005-09,Andhra Pradesh,17.59,0.67,49.11,4.86
2005-10,Andhra Pradesh,19.08,6.31,57.04,4.36
2005-11,Andhra Pradesh,20.12,17.71,58.58,4.52
2005-12,Andhra Pradesh,25.06,11.58,65.02,2.27
2006-01,Andhra Pradesh,27.38,11.95,71.59,2.39
2006-02,Andhra Pradesh,29.01,8.7,73.77,5.29
2006-03,Andhra Pradesh,28.75,6.1,76.25,2.54
2006-04,Andhra Pradesh,30.46,27.46,70.34,2.39
2006-05,Andhra Pradesh,27.14,11.51,52.7,3.41
2006-06,Andhra Pradesh,25.59,11.73,70.96,4.77
2006-07,Andhra Pradesh,22.76,12.16,79.88,4.54
2006-08,Andhra Pradesh,17.56,38.32,45.1,2.99
2006-09,Andhra Pradesh,18.86,48.29,60.99,2.4
2006-10,Andhra Pradesh,19.74,15.75,64.85,4.1
2006-11,Andhra Pradesh,18.76,3.29,52.78,2.6
2006-12,Andhra Pradesh,26.36,20.85,65.0,2.6
2007-01,Andhra Pradesh,26.43,6.19,74.4,3.22
2007-02,Andhra Pradesh,30.24,7.38,60.12,4.48
2007-03,Andhra Pradesh,31.08,63.38,49.39,4.12
2007-04,Andhra Pradesh,28.87,46.49,66.12,1.86
2007-05,Andhra Pradesh,26.46,16.53,70.53,3.68
2007-06,Andhra Pradesh,24.11,10.75,65.61,3.39
2007-07,Andhra Pradesh,22.86,23.22,64.57,1.95
2007-08,Andhra Pradesh,20.86,12.29,55.98,3.63
2007-09,Andhra Pradesh,18.42,17.37,68.1,4.66
2007-10,Andhra Pradesh,18.85,56.1,84.94,2.21
2007-11,Andhra Pradesh,20.8,40.42,73.22,3.2
2007-12,Andhra Pradesh,24.49,19.85,66.12,1.33
2008-01,Andhra Pradesh,27.64,9.18,49.42,4.66
2008-02,Andhra Pradesh,27.37,65.04,50.87,2.42
2008-03,Andhra Pradesh,31.45,18.49,69.63,2.51
2008-04,Andhra Pradesh,30.77,34.59,53.06,2.64
2008-05,Andhra Pradesh,25.6,8.26,51.25,1.97
2008-06,Andhra Pradesh,25.74,67.01,81.1,2.54
2008-07,Andhra Pradesh,21.42,8.1,56.71,3.07
2008-08,Andhra Pradesh,20.27,9.42,83.52,3.52
2008-09,Andhra Pradesh,17.44,18.63,75.18,4.14
2008-10,Andhra Pradesh,19.56,19.55,57.21,1.06
2008-11,Andhra Pradesh,19.59,30.02,70.01,1.66
2008-12,Andhra Pradesh,23.85,18.94,79.34,5.74
2009-01,Andhra Pradesh,29.12,31.79,74.08,5.29
2009-02,Andhra Pradesh,30.1,8.65,66.56,3.71
2009-03,Andhra Pradesh,30.31,28.6,59.96,2.38
2009-04,Andhra Pradesh,31.39,33.55,71.53,3.21
2009-05,Andhra Pradesh,27.53,40.86,80.36,2.38
2009-06,Andhra Pradesh,23.23,15.94,79.16,2.35
2009-07,Andhra Pradesh,21.43,42.68,47.01,4.72
2009-08,Andhra Pradesh,20.76,8.42,71.54,1.43
2009-09,Andhra Pradesh,16.92,12.85,68.94,2.92
2009-10,Andhra Pradesh,19.34,23.15,57.72,4.83
2009-11,Andhra Pradesh,20.7,31.32,55.76,5.62
2009-12,Andhra Pradesh,25.97,35.26,78.36,4.49
2010-01,Andhra Pradesh,28.22,21.32,81.64,1.99
2010-02,Andhra Pradesh,28.66,58.62,81.22,2.74
2010-03,Andhra Pradesh,28.67,36.51,71.16,2.39
2010-04,Andhra Pradesh,29.53,69.65,46.32,1.57
2010-05,Andhra Pradesh,27.26,11.62,48.9,2.25
2010-06,Andhra Pradesh,24.48,6.99,45.84,5.93
2010-07,Andhra Pradesh,21.32,3.59,60.59,3.26
2010-08,Andhra Pradesh,20.73,14.66,71.61,1.93
2010-09,Andhra Pradesh,18.82,44.3,69.24,1.13
2010-10,Andhra Pradesh,19.34,29.26,48.0,5.31
2010-11,Andhra Pradesh,21.47,19.57,55.4,2.01
2010-12,Andhra Pradesh,25.64,20.78,68.46,1.81
2011-01,Andhra Pradesh,28.11,9.08,55.64,4.45
2011-02,Andhra Pradesh,28.74,5.17,77.29,1.18
2011-03,Andhra Pradesh,31.85,4.46,79.31,4.23
2011-04,Andhra Pradesh,29.47,13.12,61.14,3.42
2011-05,Andhra Pradesh,27.32,13.44,63.23,4.27
2011-06,Andhra Pradesh,24.12,12.32,74.61,3.31
2011-07,Andhra Pradesh,21.87,30.27,54.4,2.87
2011-08,Andhra Pradesh,18.89,26.22,69.46,3.73
2011-09,Andhra Pradesh,17.66,13.84,48.53,5.33
2011-10,Andhra Pradesh,19.72,27.97,72.97,2.97
2011-11,Andhra Pradesh,22.11,26.2,57.71,2.72
2011-12,Andhra Pradesh,25.47,2.0,71.4,2.01
2012-01,Andhra Pradesh,26.2,1.32,60.33,1.9
2012-02,Andhra Pradesh,29.79,8.81,50.82,2.15
2012-03,Andhra Pradesh,31.32,10.71,67.09,3.84
2012-04,Andhra Pradesh,28.43,4.75,67.13,4.26
2012-05,Andhra Pradesh,29.71,14.93,50.81,2.67
